id,business_category,product_name,product_number,product_type,product_trigram,prerequisite,available_pricing,default_support_level,ext_enterprise_user,remote_access,licensing_structure,withdrawn_after,portfolio_type,portfolio_product,included_product_numbers,included_item_names,ds_offerings
2626,V5,DELMIA Academic Configuration,5CC-ACD,Configuration,ACD,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2882,V5,DELMIA - Daihen Robot Library & OLP,5CP-DRU,Shareable,DRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2115,V5,CATIA - AEROSPACE SHEETMETAL DESIGN 3 Product,5AP-ASL,Add-On,ASL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2371,V5,CATIA STRUCTURE PRELIMINARY LAYOUT 2 Product,5CP-SPL,Shareable,SPL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2627,V5,DELMIA - DPM Assembly GT 2 Configuration,5CC-AG2,Configuration,AG2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2883,V5,DELMIA - Fanuc Robot Library & OLP,5AP-FRU,Add-On,FRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2116,V5,CATIA - BUSINESS PROCESS KNOWLEDGE TEMPLATE 2 Product,5AP-BK2,Add-On,BK2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2372,V5,CATIA STRUCTURE PRELIMINARY LAYOUT 2 Product,5AP-SPL,Add-On,SPL,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2628,V5,DELMIA - DPM Assembly 2 Configuration,5CC-AP2,Configuration,AP2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2884,V5,DELMIA - Fanuc Robot Library & OLP,5CP-FRU,Shareable,FRU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2117,V5,CATIA - BUSINESS PROCESS KNOWLEDGE TEMPLATE 2 Product,5CP-BK2,Shareable,BK2,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
2373,V5,CATIA - STRUCTURE DESIGN 1 Product,5AP-SR1,Add-On,SR1,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2629,V5,DELMIA - DPM Assembly Process Planner 2,5AP-APN,Add-On,APN,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Add-On,,,,,,Licensed Program
2885,V5,DELMIA - General Assembly Planning Configuration,5CC-GAU,Configuration,GAU,Information not available,PLC/YLC/TBL2/TBL3,Secure,N,N,Concurrent,,,,,,Licensed Program
